Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T093_001,SE_T095_001,SE_T095_002,SE_T095_003,SE_T101_001,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T142_001
"29510116500","14000US29510116500","Census Tract 1165, St. Louis city, Missouri","Census Tract 1165, St. Louis city, Missouri","mo","140","00","ACSSF","0005693",,,,,"29","510",,,,"116500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4723,4723,4466,1991,1932,0,441,0,40,62,257,76,0,0,6,0,84,91,2316,2316,1947,369,154400,998,208,790,3429,826,2603,296,46,250,712
"29510117100","14000US29510117100","Census Tract 1171, St. Louis city, Missouri","Census Tract 1171, St. Louis city, Missouri","mo","140","00","ACSSF","0005694",,,,,"29","510",,,,"117100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685,1685,1654,1180,385,0,20,0,34,35,31,31,0,0,0,0,0,0,1111,1111,1019,92,162900,226,91,135,1347,195,1152,112,12,100,188
"29510117200","14000US29510117200","Census Tract 1172, St. Louis city, Missouri","Census Tract 1172, St. Louis city, Missouri","mo","140","00","ACSSF","0005695",,,,,"29","510",,,,"117200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5171,5171,5083,2670,2104,0,44,0,13,252,88,45,29,0,0,0,14,0,2834,2834,2368,466,177800,810,306,504,3845,837,3008,504,96,408,1228
"29510117400","14000US29510117400","Census Tract 1174, St. Louis city, Missouri","Census Tract 1174, St. Louis city, Missouri","mo","140","00","ACSSF","0005696",,,,,"29","510",,,,"117400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635,4635,4519,2819,1344,16,106,0,57,177,116,102,0,0,0,0,0,14,2307,2307,1997,310,212000,960,133,827,3050,450,2600,410,26,384,904
"29510118100","14000US29510118100","Census Tract 1181, St. Louis city, Missouri","Census Tract 1181, St. Louis city, Missouri","mo","140","00","ACSSF","0005697",,,,,"29","510",,,,"118100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,1234,1154,373,766,0,6,0,6,3,80,67,0,0,0,0,5,8,820,820,585,235,121700,223,137,86,957,225,732,53,11,42,207
"29510118400","14000US29510118400","Census Tract 1184, St. Louis city, Missouri","Census Tract 1184, St. Louis city, Missouri","mo","140","00","ACSSF","0005698",,,,,"29","510",,,,"118400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,1480,1395,770,421,0,138,0,11,55,85,63,20,0,0,0,2,0,541,541,386,155,,0,0,0,400,250,150,55,38,17,10
"29510118600","14000US29510118600","Census Tract 1186, St. Louis city, Missouri","Census Tract 1186, St. Louis city, Missouri","mo","140","00","ACSSF","0005699",,,,,"29","510",,,,"118600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3980,3980,3835,1977,1491,0,267,0,8,92,145,103,0,0,0,0,25,17,1785,1785,1512,273,174800,510,86,424,2325,611,1714,275,32,243,468
"29510119101","14000US29510119101","Census Tract 1191.01, St. Louis city, Missouri","Census Tract 1191.01, St. Louis city, Missouri","mo","140","00","ACSSF","0005700",,,,,"29","510",,,,"119101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787,2787,2738,1440,992,0,275,0,0,31,49,49,0,0,0,0,0,0,1949,1949,1755,194,267900,165,107,58,2176,647,1529,424,73,351,462
"29510119102","14000US29510119102","Census Tract 1191.02, St. Louis city, Missouri","Census Tract 1191.02, St. Louis city, Missouri","mo","140","00","ACSSF","0005701",,,,,"29","510",,,,"119102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3159,3159,3115,1875,629,0,522,0,0,89,44,27,0,0,0,0,17,0,2019,2019,1651,368,269900,135,51,84,2531,869,1662,331,31,300,493
"29510119200","14000US29510119200","Census Tract 1192, St. Louis city, Missouri","Census Tract 1192, St. Louis city, Missouri","mo","140","00","ACSSF","0005702",,,,,"29","510",,,,"119200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,1993,802,1079,0,73,0,0,39,15,15,0,0,0,0,0,0,1025,1025,928,97,267800,311,67,244,1333,264,1069,353,88,265,442
