"","trtid10","pop16","nhblk16","blk16","pov16","pov_det16","hu16","ohu16","mhm16","hu16_4vac","vac16","pop70","black70","hu70","vac70","ohu70","pov_det70","pov70","pop80","nhblk80","hu80","vac80"
"62",29510115300,5167,1872,1877,1250,5159,2351,1138,82600,2351,419,7177.0000141515,51,2621,76,2545,7177.000014,403,6358.000013,104,2656,104
"63",29510115400,3312,847,847,910,3312,1393,695,83100,1393,235,3999.00001815625,0,1492,50,1442,3999.000018,278,3327.000015,0,1430,46
"64",29510115500,6446,3748,3748,2718,6446,2985,831,75500,2985,504,7446.99998149614,2,3175,123,3052,7446.999981,740,6330.999984,6,3108,140
"65",29510115600,4813,2237,2237,1667,4499,2880,580,69200,2880,826,6368.00004304363,3,2337,102,2235,6368.000043,571,6116.000041,28,2721,154
"66",29510115700,3658,1677,1677,1679,3569,1832,354,56700,1832,474,5021.0000732113,0,2113,110,2003,5114.000075,584,4390.000064,4,2053,128
"67",29510116100,2973,830,830,746,2926,1775,768,105300,1775,305,4083.00002138957,0,1819,47,1772,4083.000021,288,3338.000017,3,1783,68
"68",29510116200,4132,588,588,433,4132,2347,1069,146900,2347,216,6977.33490810612,0.995198249816895,2650.212890625,104.495819091797,2545.71704101563,6977.334908,479.6855469,5908.491991,12.93757725,2615.381104,146.2941437
"69",29510116301,3634,703,703,476,3624,1603,781,205700,1603,161,4583.24573607591,4.79809379577637,1864.85913085938,70.905158996582,1793.95397949219,4583.245736,435.0271606,3821.948201,12.79491615,1803.016968,82.63383484
"70",29510116302,2783,1009,1009,944,2783,1575,272,86000,1575,310,4013.75420587638,4.20190620422363,1633.14086914063,62.0948371887207,1571.04602050781,4013.754206,380.9728394,3347.051751,11.20508289,1578.983032,72.36616516
"71",29510116400,4852,2804,2942,1843,4829,2594,609,64500,2594,644,6519.00003841989,10,2845,136,2709,6519.000038,729,5379.000032,17,2744,216
"72",29510116500,4723,1932,1932,1080,4723,2316,712,154400,2316,369,6230.00003254638,12,2595,164,2431,6230.000033,572,5295.000028,43,2444,180
"73",29510117100,1685,385,385,298,1685,1111,188,162900,1111,92,3051.99997999775,1,1331,67,1264,3051.99998,292,2301.999985,298,1328,105
"74",29510117200,5171,2104,2133,1239,5159,2834,1228,177800,2834,466,10877.0000113962,29,4098,277,3821,10877.00001,1273,8175.000009,2451,3682,501
"75",29510117400,4635,1344,1344,609,4420,2307,904,212000,2307,310,7554.00021105632,31,2822,131,2691,7554.000211,733,5576.000156,277,2468,314
"76",29510118100,1234,766,766,373,1233,820,207,121700,820,235,3814.99999977794,52,1682,225,1457,3832,727,2872,1229,1400,330
"77",29510118400,1480,421,441,288,455,541,10,NA,541,155,1703.00003905629,444,1173,63,1110,1754.00004,258,1466.000034,591,1130,50
"78",29510118600,3980,1491,1491,729,3110,1785,468,174800,1785,273,5347.99992904429,730,2230,236,1994,5354.999929,1358,3363.999955,1976,1630,375
"79",29510119101,2787,992,992,827,2765,1949,462,267900,1949,194,3766.9817800448,968.679565429688,2026.5859375,267.205596923828,1759.38024902344,3716.19848,753.6811523,2991.468585,970.1033936,2261.043457,356.9069214
"80",29510119102,3159,629,629,951,2997,2019,493,269900,2019,368,4170.01827683824,1072.32043457031,2243.4140625,295.794403076172,1947.61975097656,4113.801576,834.3189087,3311.53146,1073.896606,2502.956787,395.0930786
"81",29510119200,2008,1079,1079,419,1997,1025,442,267800,1025,97,5532.99996050703,4866,2626,481,2145,5588.99996,1812,2623.999981,2223,1579,463
"82",29510119300,4109,1130,1130,1126,2418,1710,52,337500,1710,417,6163.99999336235,2077,2055,284,1771,6142.999993,1810,3828.999996,1398,1679,224
"83",29510120200,1470,1248,1248,795,1393,668,128,NA,668,224,3907.99998083519,963,1629,204,1425,3907.999981,1059,2192.999989,1818,983,279
"84",29510121100,1711,1407,1412,846,1534,1070,13,NA,1070,148,4235.00003801638,2496,1572,181,1391,4148.000037,1114,4806.000043,3783,1817,102
"85",29510121200,2343,2204,2208,1316,2343,1180,101,97300,1180,284,6751.99988324905,6601,3153,620,2533,6803.999882,3081,3988.999931,3929,2017,301
"86",29510123100,3669,2437,2458,635,3638,1921,741,154400,1921,393,8096.99995423531,1463,3109,504,2605,8096.999954,1810,4399.999975,689,2111,439
"87",29510123200,2407,684,684,434,2407,1580,508,233200,1580,205,4430.00000634376,940,1732,338,1394,4430.000006,1108,2864.000004,893,1390,294
"88",29510123300,3029,957,957,400,2973,1732,576,201400,1732,283,6288.99998238298,2,2413,305,2108,6288.999982,1201,3671.99999,32,2017,539
"89",29510124100,5506,3558,3564,2221,5477,2460,532,69700,2460,676,7527.99998082931,0,3210,223,2987,7527.999981,1146,6286.999984,35,2970,281
"90",29510124200,3551,2152,2152,1428,3467,1916,444,130700,1916,605,5714.99997122519,2,2564,215,2349,5714.999971,887,4525.999977,20,2353,317
