Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-010790,2016-03,03/07/2016 13:30,Y,NA,NA,1,NA,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5701,ENRIGHT,48,NA,NA,5701,DELMAR,0,0,TRUE,"5701 ENRIGHT, St. Louis, MO",-90.28479449999999,38.6554689
16-021001,2016-05,03/09/2016 16:30,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3400,MINNESOTA AVE,19,NA,NA,3400,MINNESOTA,0,0,TRUE,"3400 MINNESOTA AVE, St. Louis, MO",-90.2345914,38.5944287
16-012160,2016-03,03/10/2016 14:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,0,WILLMORE RD,8,NA,NA,0,WILLMORE,0,0,TRUE,"0 WILLMORE RD, St. Louis, MO",-90.30696879999999,38.5774856
16-011637,2016-04,03/12/2016 22:50,NA,NA,NA,1,NA,71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5550,CATES,48,NA,NA,5550,CATES,0,0,TRUE,"5550 CATES, St. Louis, MO",-90.280585,38.6569292
16-013453,2016-04,03/21/2016 16:00,NA,NA,NA,1,NA,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",507,13TH,36,NA,NA,507,13TH,0,0,TRUE,"507 13TH, St. Louis, MO",-90.1987407,38.6316897
16-013302,2016-03,03/22/2016 12:39,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1900,OLIVE ST,36,NA,@HEADQUARTERS,1900,OLIVE,0,0,TRUE,"1900 OLIVE ST, St. Louis, MO",-90.2073405,38.6314773
16-023738,2016-05,03/24/2016 07:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,5400,GRAVOIS AVE,5,ADVENTURE LEARNING CENTER,NA,5400,GRAVOIS,0,0,TRUE,"5400 GRAVOIS AVE, St. Louis, MO",-90.269548,38.57909799999999
16-013927,2016-03,03/25/2016 16:00,Y,NA,NA,1,NA,23000,2,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,5000,ODELL ST,13,NA,NA,3200,SUBLETTE,0,0,TRUE,"5000 ODELL ST, St. Louis, MO",-90.2730188,38.6066375
16-018048,2016-04,04/17/2016 00:45,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,2000,E ADELAIDE AVE,68,NA,NA,2000,DE SOTO,0,0,TRUE,"2000 E ADELAIDE AVE, St. Louis, MO",-90.2164525,38.676805
18-020945,2018-08,04/20/2016 12:00,NA,NA,NA,1,NA,43026,2,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4437,OAKLAND,39,NA,NA,4437,OAKLAND,0,0,TRUE,"4437 OAKLAND, St. Louis, MO",-90.26018909999999,38.6275241
16-019082,2016-04,04/23/2016 11:00,Y,NA,NA,1,NA,64701,0,LARCENY-FROM MTR VEH UNDER $500,2800,NORTH DR,0,NA,@TOWER GROVE PARK,NA,NA,0,0,TRUE,"2800 NORTH DR, St. Louis, MO",-90.25012869999999,38.6068425
16-020112,2016-05,04/27/2016 05:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1500,PAPIN ST,36,NA,NA,1400,LOCUST,0,0,TRUE,"1500 PAPIN ST, St. Louis, MO",-90.2059294,38.6204624
16-019841,2016-06,04/27/2016 13:55,NA,NA,NA,1,NA,69703,4,LARCENY-ALL OTH/FRM PRSN/UNDER $500,902,BROADWAY,35,NA,NA,902,BROADWAY,0,0,TRUE,"902 BROADWAY, St. Louis, MO",-90.1928949,38.6178355
18-016481,2018-05,05/01/2016 10:23,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,5900,DELOR ST,36,NA,NA,1900,OLIVE,0,0,TRUE,"5900 DELOR ST, St. Louis, MO",-90.29587250000002,38.5843297
16-024443,2016-05,05/16/2016 00:01,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1100,CARR ST,62,NA,NA,1900,OLIVE,0,0,TRUE,"1100 CARR ST, St. Louis, MO",-90.1935302,38.6358364
16-024450,2016-06,05/22/2016 01:30,NA,NA,NA,1,NA,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5536,PERSHING,47,NA,NA,5536,PERSHING,0,0,TRUE,"5536 PERSHING, St. Louis, MO",-90.2800779,38.6478075
16-025579,2016-06,05/27/2016 16:30,NA,NA,NA,1,NA,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4405,WEST PINE,38,ELLSWORTH APARTMENTS,LAUNDRY ROOM,4405,WEST PINE,0,0,TRUE,"4405 WEST PINE, St. Louis, MO",-90.255074,38.64057
16-025715,2016-05,05/27/2016 23:30,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,5000,MARDEL AVE,14,NA,NA,5000,MARDEL,0,0,TRUE,"5000 MARDEL AVE, St. Louis, MO",-90.2764211,38.5931028
16-025820,2016-05,05/29/2016 12:45,Y,NA,NA,1,NA,64601,0,"LARCENY-FROM MTR VEH $500 - $24,999",700,MEMORIAL DR,0,NA,NA,NA,NA,0,0,TRUE,"700 MEMORIAL DR, St. Louis, MO",-90.18585039999999,38.6308771
16-028012,2016-06,06/10/2016 06:57,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,4100,ALDINE AVE,57,NA,VACANT RESIDENCE,NA,NA,0,0,TRUE,"4100 ALDINE AVE, St. Louis, MO",-90.23633699999999,38.653445
16-028631,2016-06,06/13/2016 17:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,5700,WOODLAND AVE,72,NA,2ND FL,5700,WOODLAND,0,0,TRUE,"5700 WOODLAND AVE, St. Louis, MO",-90.2572733,38.6963932
16-033152,2016-07,06/29/2016 20:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,0,N 21ST ST / SAINT LOUIS AVE,60,ST LOUIS PLACE PARK,IN ST LOUIS PLACE PARK,NA,NA,0,0,TRUE,"0 N 21ST ST / SAINT LOUIS AVE, St. Louis, MO",-90.2036298,38.6513911
