Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
16-008793,2016-03,02/24/2016 02:00,NA,NA,NA,1,NA,67701,3,LARCENY-FROM BUILDING UNDER $500,2917,CHIPPEWA,19,NA,NA,2917,CHIPPEWA,0,0,TRUE,"2917 CHIPPEWA, St. Louis, MO",NA,NA
16-049818,2016-10,02/24/2016 15:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1000,N 2ND ST,35,NA,@HOTEL- FOUR SEASONS,1000,2ND,0,0,TRUE,"1000 N 2ND ST, St. Louis, MO",NA,NA
16-032193,2016-07,02/25/2016 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,1200,AUBERT AVE,53,NA,NA,3700,IOWA,0,0,TRUE,"1200 AUBERT AVE, St. Louis, MO",NA,NA
16-009053,2016-02,02/25/2016 21:50,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4500,HUNT AVE,39,NA,NA,4500,HUNT,0,0,TRUE,"4500 HUNT AVE, St. Louis, MO",NA,NA
16-009890,2016-03,03/01/2016 16:00,Y,NA,NA,1,NA,41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3737,N. KINGSHIGHWAY,70,NA,NA,5140,RIVERVIEW,0,0,TRUE,"3737 N. KINGSHIGHWAY, St. Louis, MO",NA,NA
16-009890,2016-03,03/01/2016 16:00,Y,NA,NA,1,NA,41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3737,N. KINGSHIGHWAY,70,NA,NA,5140,RIVERVIEW,0,0,TRUE,"3737 N. KINGSHIGHWAY, St. Louis, MO",NA,NA
16-010876,2016-03,03/07/2016 00:01,Y,NA,NA,1,NA,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",0,NORTH BROADWAY / TAYLOR,79,NA,NA,NA,NA,0,0,TRUE,"0 NORTH BROADWAY / TAYLOR, St. Louis, MO",NA,NA
16-011318,2016-04,03/08/2016 09:00,NA,NA,NA,1,NA,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3305,POTOMAC,19,NA,NA,3305,POTOMAC,0,0,TRUE,"3305 POTOMAC, St. Louis, MO",NA,NA
16-011241,2016-04,03/08/2016 15:00,Y,NA,NA,1,NA,43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,5207,KENSINGTON,51,NA,NA,1,CHILDRENS,0,0,TRUE,"5207 KENSINGTON, St. Louis, MO",NA,NA
16-054832,2017-01,03/09/2016 12:00,NA,NA,NA,1,NA,44025,4,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC,1225,WARREN,63,NA,NA,1225,WARREN,0,0,TRUE,"1225 WARREN, St. Louis, MO",NA,NA
16-011253,2016-04,03/10/2016 08:15,NA,NA,NA,1,NA,51130,1,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,4550,MORGANFORD,5,NA,:1N,4550,MORGANFORD,0,0,TRUE,"4550 MORGANFORD, St. Louis, MO",NA,NA
16-016855,2016-06,03/10/2016 15:37,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5800,SELBER CT,50,SELBER COURT APARTMENTS,NA,5800,SELBER,0,0,TRUE,"5800 SELBER CT, St. Louis, MO",NA,NA
16-011404,2016-03,03/10/2016 21:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,500,N 13TH ST,36,NA,NA,500,13TH,0,0,TRUE,"500 N 13TH ST, St. Louis, MO",NA,NA
16-011507,2016-03,03/11/2016 10:00,Y,NA,NA,1,NA,31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,CHILDREN PL / TAYLOR AVE,38,@CENTRAL WEST END METRO BUS STATION,NA,NA,NA,0,0,TRUE,"0 CHILDREN PL / TAYLOR AVE, St. Louis, MO",NA,NA
16-012108,2016-03,03/12/2016 19:00,Y,NA,NA,1,NA,51330,5,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,470,LAKE AVE,38,THE WIILLARD,NA,470,LAKE,0,0,TRUE,"470 LAKE AVE, St. Louis, MO",NA,NA
16-011711,2016-03,03/13/2016 06:35,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3800,WISCONSIN AVE,18,NA,NA,3800,WISCONSIN,0,0,TRUE,"3800 WISCONSIN AVE, St. Louis, MO",NA,NA
16-011714,2016-03,03/13/2016 07:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1100,N 9TH ST,35,NA,NA,NA,NA,0,0,TRUE,"1100 N 9TH ST, St. Louis, MO",NA,NA
16-012230,2016-03,03/15/2016 20:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,4100,HUMPHREY ST,15,NA,NA,1500,GRAND,0,0,TRUE,"4100 HUMPHREY ST, St. Louis, MO",NA,NA
16-012220,2016-03,03/15/2016 21:15,Y,NA,NA,1,NA,23000,3,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2800,PARK AVE,31,NA,NA,2800,PARK,0,0,TRUE,"2800 PARK AVE, St. Louis, MO",NA,NA
16-012589,2016-03,03/17/2016 18:30,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,3400,UTAH ST,25,NA,NA,3400,UTAH,0,0,TRUE,"3400 UTAH ST, St. Louis, MO",NA,NA
